Lp.,Quarter I,Quarter II,Quarter III,Quarter IV
1,8839,6453,7548,2973
2,2338,3919,7154,2266
3,343,333,333,323
4,2051,1451,1244,1059
5,1034,5506,9978,5506
6,6237,2941,3214,1275
7,333,6560,2652,1063
8,7973,5362,2461,1723
9,7328,5940,5435,3038
10,4601,8267,8604,7157
11,4188,2651,7705,2208
12,2995,5019,2080,2870
13,6113,8322,6007,4011
14,7578,4183,5882,5881
15,475,8089,8423,5148
16,7796,6876,4779,8052
17,997,4092,3680,3574
18,5136,4793,5478,5136
19,3627,1165,926,4165
20,4046,186,2818,2350
21,6786,6939,4844,5429
22,767,8579,3498,1147
23,3196,3076,3894,5409
24,3336,3336,5951,720
25,2288,7682,6512,9565
Done: 17:51:45 01/01/24
