Lp.,Quarter I,Quarter II,Quarter III,Quarter IV
1,8839,ghj,7548,2973
2,2338,,7154,2266
3,0343,ghj,ghj,0323
4,2051,,1244,1059
5,1034,,9978,ghj
6,6237,2941,3214,1275
7,0333,6560,fff,1063
8,7973,5362,2461,1723
9,7328,5940,ghj,3038
10,4601,8267,8604,ghj
11,fff,2651,7705,2208
12,2995,5019,2080,2870
13,ghj,8322,6007,4011
14,7578,4183,5882,
15,0475,8089,8423,5148
16,7796,,4779,8052
17,0997,4092,3680,3574
18,fff,4793,5478,ghj
19,3627,1165,0926,4165
20,4046,0186,2818,
21,6786,6939,4844,5429
22,0767,8579,,1147
23,3196,3076,ghj,5409
24,,fff,5951,0720
25,2288,7682,ghj,9565
